nm,VNIR_B1,VNIR_B2,VNIR_B3N,VNIR_B3B,SWIR_B4,SWIR_B5,SWIR_B6,SWIR_B7,SWIR_B8,SWIR_B9
689,0.0,0.5544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692,0.0,0.4596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,0.0,0.4258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
698,0.0,0.3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
701,0.0,0.2991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
704,0.0,0.2166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
707,0.0,0.1247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710,0.0,0.0623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
713,0.0,0.0442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
719,0.0,0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720,0.0,0.0,0.0022,0.0099,0.0,0.0,0.0,0.0,0.0,0.0
722,0.0,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
724,0.0,0.0,0.0,0.0088,0.0,0.0,0.0,0.0,0.0,0.0
725,0.0,0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
728,0.0,0.0041,0.0093,0.0206,0.0,0.0,0.0,0.0,0.0,0.0
730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
732,0.0,0.0,0.0258,0.0384,0.0,0.0,0.0,0.0,0.0,0.0
736,0.0,0.0,0.048,0.0657,0.0,0.0,0.0,0.0,0.0,0.0
740,0.0,0.0,0.0509,0.1218,0.0,0.0,0.0,0.0,0.0,0.0
744,0.0,0.0,0.098,0.2529,0.0,0.0,0.0,0.0,0.0,0.0
748,0.0,0.0,0.1907,0.4064,0.0,0.0,0.0,0.0,0.0,0.0
750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
752,0.0,0.0,0.3353,0.6455,0.0,0.0,0.0,0.0,0.0,0.0
756,0.0,0.0,0.6379,0.8368,0.0,0.0,0.0,0.0,0.0,0.0
760,0.0,0.0,1.0,0.8973,0.0,0.0,0.0,0.0,0.0,0.0
764,0.0,0.0,0.9786,0.9461,0.0,0.0,0.0,0.0,0.0,0.0
768,0.0,0.0,0.8982,1.0,0.0,0.0,0.0,0.0,0.0,0.0
770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
772,0.0,0.0,0.9148,0.9991,0.0,0.0,0.0,0.0,0.0,0.0
776,0.0,0.0,0.9778,0.9722,0.0,0.0,0.0,0.0,0.0,0.0
780,0.0,0.0,0.9942,0.9279,0.0,0.0,0.0,0.0,0.0,0.0
784,0.0,0.0,0.9783,0.8981,0.0,0.0,0.0,0.0,0.0,0.0
788,0.0,0.0,0.9624,0.9055,0.0,0.0,0.0,0.0,0.0,0.0
792,0.0,0.0,0.9355,0.901,0.0,0.0,0.0,0.0,0.0,0.0
796,0.0,0.0,0.9713,0.9171,0.0,0.0,0.0,0.0,0.0,0.0
800,0.0,0.0,0.982,0.9138,0.0,0.0,0.0,0.0,0.0,0.0
804,0.0,0.0,0.9976,0.8957,0.0,0.0,0.0,0.0,0.0,0.0
808,0.0,0.0,0.9895,0.9202,0.0,0.0,0.0,0.0,0.0,0.0
812,0.0,0.0,0.9751,0.9034,0.0,0.0,0.0,0.0,0.0,0.0
816,0.0,0.0,0.9874,0.9031,0.0,0.0,0.0,0.0,0.0,0.0
820,0.0,0.0,0.9694,0.8883,0.0,0.0,0.0,0.0,0.0,0.0
824,0.0,0.0,0.9542,0.8866,0.0,0.0,0.0,0.0,0.0,0.0
828,0.0,0.0,0.9489,0.8935,0.0,0.0,0.0,0.0,0.0,0.0
832,0.0,0.0,0.9247,0.9026,0.0,0.0,0.0,0.0,0.0,0.0
836,0.0,0.0,0.9609,0.9204,0.0,0.0,0.0,0.0,0.0,0.0
840,0.0,0.0,0.9489,0.8863,0.0,0.0,0.0,0.0,0.0,0.0
844,0.0,0.0,0.942,0.8813,0.0,0.0,0.0,0.0,0.0,0.0
848,0.0,0.0,0.9297,0.8554,0.0,0.0,0.0,0.0,0.0,0.0
852,0.0,0.0,0.8366,0.7877,0.0,0.0,0.0,0.0,0.0,0.0
856,0.0,0.0,0.6943,0.7254,0.0,0.0,0.0,0.0,0.0,0.0
860,0.0,0.0,0.4813,0.5576,0.0,0.0,0.0,0.0,0.0,0.0
864,0.0,0.0,0.2958,0.349,0.0,0.0,0.0,0.0,0.0,0.0
868,0.0,0.0,0.1763,0.2494,0.0,0.0,0.0,0.0,0.0,0.0
872,0.0,0.0,0.09,0.1452,0.0,0.0,0.0,0.0,0.0,0.0
876,0.0,0.0,0.0547,0.0929,0.0,0.0,0.0,0.0,0.0,0.0
880,0.0,0.0,0.0318,0.0594,0.0,0.0,0.0,0.0,0.0,0.0
884,0.0,0.0,0.0258,0.0346,0.0,0.0,0.0,0.0,0.0,0.0
888,0.0,0.0,0.0204,0.0133,0.0,0.0,0.0,0.0,0.0,0.0
