nm,Green,Red,NIR1,NIR2
638,0.023,0.993,0.0,0.0
639,0.022,0.992,0.0,0.0
640,0.021,0.992,0.0,0.0
641,0.02,0.991,0.0,0.0
642,0.019,0.987,0.0,0.0
643,0.017,0.983,0.0,0.0
644,0.012,0.98,0.0,0.0
645,0.006,0.977,0.0,0.0
646,0.002,0.972,0.0,0.0
647,0.0,0.968,0.0,0.0
648,0.0,0.963,0.0,0.0
649,0.0,0.96,0.0,0.0
650,0.0,0.956,0.0,0.0
651,0.0,0.953,0.0,0.0
652,0.0,0.949,0.0,0.0
653,0.0,0.944,0.0,0.0
654,0.0,0.94,0.0,0.0
655,0.0,0.937,0.0,0.0
656,0.0,0.934,0.0,0.0
657,0.0,0.931,0.0,0.0
658,0.0,0.926,0.0,0.0
659,0.0,0.92,0.0,0.0
660,0.0,0.919,0.0,0.0
661,0.0,0.917,0.0,0.0
662,0.0,0.917,0.0,0.0
663,0.0,0.915,0.0,0.0
664,0.0,0.913,0.0,0.0
665,0.0,0.91,0.0,0.0
666,0.0,0.907,0.0,0.0
667,0.0,0.906,0.0,0.0
668,0.0,0.905,0.0,0.0
669,0.0,0.903,0.0,0.0
670,0.0,0.902,0.0,0.0
671,0.0,0.897,0.0,0.0
672,0.0,0.891,0.0,0.0
673,0.0,0.887,0.0,0.0
674,0.0,0.883,0.0,0.0
675,0.0,0.878,0.0,0.0
676,0.0,0.872,0.0,0.0
677,0.0,0.868,0.0,0.0
678,0.0,0.862,0.001,0.0
679,0.0,0.856,0.002,0.0
680,0.0,0.852,0.005,0.0
681,0.0,0.846,0.013,0.0
682,0.0,0.84,0.024,0.0
683,0.0,0.834,0.031,0.0
684,0.0,0.83,0.039,0.0
685,0.0,0.823,0.046,0.0
686,0.0,0.817,0.053,0.0
687,0.0,0.811,0.062,0.0
688,0.0,0.805,0.069,0.0
689,0.0,0.795,0.078,0.0
690,0.0,0.779,0.097,0.0
691,0.0,0.748,0.124,0.0
692,0.0,0.708,0.165,0.0
693,0.0,0.67,0.202,0.0
694,0.0,0.631,0.244,0.0
695,0.0,0.585,0.281,0.0
696,0.0,0.542,0.317,0.0
697,0.0,0.502,0.35,0.0
698,0.0,0.465,0.398,0.0
699,0.0,0.418,0.43,0.0
700,0.0,0.384,0.473,0.0
701,0.0,0.349,0.518,0.0
702,0.0,0.33,0.558,0.0
703,0.0,0.299,0.606,0.0
704,0.0,0.277,0.649,0.0
705,0.0,0.254,0.706,0.0
706,0.0,0.232,0.742,0.0
707,0.0,0.205,0.788,0.0
708,0.0,0.176,0.834,0.0
709,0.0,0.157,0.87,0.0
710,0.0,0.141,0.898,0.0
711,0.0,0.124,0.917,0.0
712,0.0,0.117,0.926,0.0
713,0.0,0.101,0.936,0.0
714,0.0,0.095,0.945,0.0
715,0.0,0.087,0.955,0.0
716,0.0,0.075,0.961,0.0
717,0.0,0.063,0.968,0.0
718,0.0,0.057,0.978,0.0
719,0.0,0.043,0.985,0.0
720,0.0,0.038,0.989,0.0
721,0.0,0.032,0.988,0.0
722,0.0,0.029,0.982,0.0
723,0.0,0.027,0.977,0.0
724,0.0,0.025,0.971,0.0
