nm,Green,Red,NIR1,NIR2
450,0.0,0.0,0.0,0.0
451,0.0,0.0,0.0,0.0
452,0.0,0.0,0.0,0.0
453,0.00136846,0.0,0.0,0.0
454,0.00171057,0.0,0.0,0.0
455,0.00376326,0.0,0.0,0.0
456,0.00461854,0.0,0.0,0.0
457,0.00369483,0.0,0.0,0.0
458,0.00325009,0.0,0.0,0.0
459,0.00325009,0.0,0.0,0.0
460,0.00342114,0.0,0.0,0.0
461,0.0035922,0.0,0.0,0.0
462,0.00376326,0.0,0.0,0.0
463,0.00393431,0.0,0.0,0.0
464,0.00410537,0.0,0.0,0.0
465,0.00410537,0.0,0.0,0.0
466,0.00427643,0.0,0.0,0.0
467,0.00427643,0.0,0.0,0.0
468,0.00444749,0.0,0.0,0.0
469,0.00444749,0.0,0.0,0.0
470,0.00461854,0.0,0.0,0.0
471,0.00461854,0.0,0.0,0.0
472,0.00496066,0.0,0.0,0.0
473,0.0047896,0.0,0.0,0.0
474,0.00496066,0.0,0.0,0.0
475,0.00513171,0.0,0.0,0.0
476,0.00530277,0.0,0.0,0.0
477,0.00564489,0.0,0.0,0.0
478,0.00667123,0.0,0.0,0.0
479,0.0083818,0.0,0.0,0.0
480,0.01009237,0.0,0.0,0.0
481,0.01265823,0.0,0.0,0.0
482,0.01744783,0.0,0.0,0.0
483,0.02309271,0.0,0.0,0.0
484,0.03421143,0.0,0.0,0.0
485,0.04858023,0.0,0.0,0.0
486,0.0586726,0.0,0.0,0.0
487,0.08073897,0.0,0.0,0.0
488,0.09818679,0.0,0.0,0.0
489,0.10930551,0.0,0.0,0.0
490,0.13479302,0.0,0.0,0.0
491,0.16096476,0.0,0.0,0.0
492,0.18850496,0.0,0.0,0.0
493,0.21142662,0.0,0.0,0.0
494,0.23554567,0.0,0.0,0.0
495,0.25829627,0.0,0.0,0.0
496,0.28087581,0.0,0.0,0.0
497,0.30242901,0.0,0.0,0.0
498,0.32808758,0.0,0.0,0.0
499,0.35049607,0.0,0.0,0.0
500,0.37358878,0.0,0.0,0.0
501,0.41002395,0.0,0.0,0.0
502,0.44594595,0.0,0.0,0.0
503,0.47417037,0.0,0.0,0.0
504,0.50393431,0.0,0.0,0.0
505,0.54276428,0.0,0.0,0.0
506,0.57919945,0.0,0.0,0.0
507,0.60759494,0.0,0.0,0.0
508,0.64847759,0.0,0.0,0.0
509,0.68286008,0.0,0.0,0.0
510,0.69808416,0.0,0.0,0.0
511,0.72511119,0.0,0.0,0.0
512,0.7565857,0.0,0.0,0.0
513,0.77796784,0.0,0.0,0.0
514,0.80311324,0.0,0.0,0.0
515,0.81833732,0.0,0.0,0.0
516,0.8308245,0.0,0.0,0.0
517,0.84827232,0.0,0.0,0.0
518,0.86537804,0.0,0.0,0.0
519,0.87478618,0.0,0.0,0.0
520,0.88966815,0.0,0.0,0.0
521,0.90283955,0.0,0.0,0.0
522,0.91583989,0.0,0.0,0.0
523,0.9269586,0.0,0.0,0.0
