nm,Green,Red,NIR1,NIR2
449,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0
451,0.0,0.0,0.0,0.0
452,0.0,0.0,0.0,0.0
453,0.0006135,0.0,0.0,0.0
454,0.00143149,0.0,0.0,0.0
455,0.00163599,0.0,0.0,0.0
456,0.00204499,0.0,0.0,0.0
457,0.00265849,0.0,0.0,0.0
458,0.00306748,0.0,0.0,0.0
459,0.00327198,0.0,0.0,0.0
460,0.00327198,0.0,0.0,0.0
461,0.00306748,0.0,0.0,0.0
462,0.00306748,0.0,0.0,0.0
463,0.00286299,0.0,0.0,0.0
464,0.00286299,0.0,0.0,0.0
465,0.00306748,0.0,0.0,0.0
466,0.00306748,0.0,0.0,0.0
467,0.00327198,0.0,0.0,0.0
468,0.00327198,0.0,0.0,0.0
469,0.00327198,0.0,0.0,0.0
470,0.00327198,0.0,0.0,0.0
471,0.00327198,0.0,0.0,0.0
472,0.00327198,0.0,0.0,0.0
473,0.00327198,0.0,0.0,0.0
474,0.00327198,0.0,0.0,0.0
475,0.00272665,0.0,0.0,0.0
476,0.00272665,0.0,0.0,0.0
477,0.00272665,0.0,0.0,0.0
478,0.00272665,0.0,0.0,0.0
479,0.00289707,0.0,0.0,0.0
480,0.00494206,0.0,0.0,0.0
481,0.00886162,0.0,0.0,0.0
482,0.01567825,0.0,0.0,0.0
483,0.02232447,0.0,0.0,0.0
484,0.03851397,0.0,0.0,0.0
485,0.05129516,0.0,0.0,0.0
486,0.07668712,0.0,0.0,0.0
487,0.09458078,0.0,0.0,0.0
488,0.12525562,0.0,0.0,0.0
489,0.15371506,0.0,0.0,0.0
490,0.1874574,0.0,0.0,0.0
491,0.22750511,0.0,0.0,0.0
492,0.25869121,0.0,0.0,0.0
493,0.29362645,0.0,0.0,0.0
494,0.33384458,0.0,0.0,0.0
495,0.37031357,0.0,0.0,0.0
496,0.43200409,0.0,0.0,0.0
497,0.46864349,0.0,0.0,0.0
498,0.48619632,0.0,0.0,0.0
499,0.53289025,0.0,0.0,0.0
500,0.56654738,0.0,0.0,0.0
501,0.599182,0.0,0.0,0.0
502,0.63113497,0.0,0.0,0.0
503,0.66547376,0.0,0.0,0.0
504,0.69793797,0.0,0.0,0.0
505,0.72102931,0.0,0.0,0.0
506,0.75869121,0.0,0.0,0.0
507,0.79158146,0.0,0.0,0.0
508,0.8093047,0.0,0.0,0.0
509,0.83162918,0.0,0.0,0.0
510,0.84952284,0.0,0.0,0.0
511,0.85957737,0.0,0.0,0.0
512,0.87372188,0.0,0.0,0.0
513,0.88837764,0.0,0.0,0.0
514,0.90064758,0.0,0.0,0.0
515,0.91206544,0.0,0.0,0.0
516,0.92194956,0.0,0.0,0.0
517,0.93882072,0.0,0.0,0.0
518,0.94512611,0.0,0.0,0.0
519,0.95074983,0.0,0.0,0.0
520,0.95552147,0.0,0.0,0.0
521,0.95705521,0.0,0.0,0.0
522,0.95944104,0.0,0.0,0.0
523,0.96097478,0.0,0.0,0.0
524,0.96353102,0.0,0.0,0.0
525,0.96472393,0.0,0.0,0.0
526,0.96728016,0.0,0.0,0.0
527,0.96847307,0.0,0.0,0.0
528,0.98074301,0.0,0.0,0.0
529,0.98841172,0.0,0.0,0.0
530,0.99318337,0.0,0.0,0.0
531,0.99659168,0.0,0.0,0.0
532,1.0,0.0,0.0,0.0
533,0.99914792,0.0,0.0,0.0
534,0.99761418,0.0,0.0,0.0
535,0.99625085,0.0,0.0,0.0
536,0.99403545,0.0,0.0,0.0
537,0.99011588,0.0,0.0,0.0
538,0.98585549,0.0,0.0,0.0
539,0.98142468,0.0,0.0,0.0
540,0.97852761,0.0,0.0,0.0
541,0.9773347,0.0,0.0,0.0
542,0.97784594,0.0,0.0,0.0
543,0.97852761,0.0,0.0,0.0
544,0.97869802,0.0,0.0,0.0
545,0.9795501,0.0,0.0,0.0
546,0.98091343,0.0,0.0,0.0
547,0.98244717,0.0,0.0,0.0
548,0.98432175,0.0,0.0,0.0
549,0.98483299,0.0,0.0,0.0
550,0.98687798,0.0,0.0,0.0
551,0.98909339,0.0,0.0,0.0
552,0.99045671,0.0,0.0,0.0
553,0.99079755,0.0,0.0,0.0
554,0.99130879,0.0,0.0,0.0
555,0.99182004,0.0,0.0,0.0
556,0.9925017,0.0,0.0,0.0
