nm,Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,Band 8,Band 9,Band 10,Band 11,Band 12,Band 13,Band 14,Band 15,Band 16,Band 17,Band 18,Band 19
429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022538,0.00045237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,3.019e-05,9.723e-05,0.0007991,0.00010804,0.0,0.0,0.0,0.00010032,0.00074453,0.00109174,6.56e-06,8.345e-05,1.132e-05,8.29e-06,3.17e-06,6.69e-06,7.353e-05,3.856e-05,0.00011747
431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00135374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011024,0.00351132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010428,0.0134802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0481175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83e-05,0.293207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,0.0,0.0,0.00028808,0.0,0.0,0.0,0.0,0.0,0.810956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,3.042e-05,8.183e-05,0.00022991,6.026e-05,0.0,0.0,0.0,0.0001369,0.963823,0.000672,4.78e-05,4.002e-05,1.069e-05,1.166e-05,2.59e-06,7.07e-06,3.591e-05,4.779e-05,7.677e-05
441,0.0,0.0,0.00029464,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,0.0,0.0,0.00031893,0.0,0.0,0.0,0.0,0.0,0.997915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,0.0,0.0,0.00038107,0.0,0.0,0.0,0.0,0.0,0.993775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,0.0,0.0,0.00049593,0.0,0.0,0.0,0.0,0.0,0.974399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,0.0,0.0,0.00053769,0.0,0.0,0.0,0.0,0.0,0.900225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,0.0,0.0,0.00095341,0.0,0.0,0.0,0.0,0.0,0.719177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,0.0,0.0,0.00135005,0.0,0.0,0.0,0.0,0.0,0.455352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,0.0,0.0,0.00182792,0.0,0.0,0.0,0.0,0.0,0.206819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,0.0,0.0,0.00264805,0.0,0.0,0.0,0.0,0.0,0.0825571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,3.124e-05,6.594e-05,0.00450824,3.75e-05,0.0,0.0,0.0,4.445e-05,0.0318704,0.00097938,8.781e-05,2.966e-05,6.73e-06,6.52e-06,5.44e-06,6.09e-06,5.451e-05,3.422e-05,8.124e-05
451,0.0,0.0,0.0086487,0.0,0.0,0.0,0.0,0.0,0.00867226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,0.0,0.0,0.0178435,0.0,0.0,0.0,0.0,0.0,0.00189406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,0.0,0.0,0.0404898,0.0,0.0,0.0,0.0,0.0,0.00056069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,0.0,0.0,0.101683,0.0,0.0,0.0,0.0,0.0,0.00018306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,0.0,0.0,0.239842,0.0,0.0,0.0,0.0,0.0,8.026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,0.0,0.0,0.449592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,0.0,0.0,0.691881,0.0,0.0,0.0,0.0,0.0,6.773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,0.0,0.0,0.87658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,0.0,0.0,0.975988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,4.157e-05,5.222e-05,1.0,0.00011356,0.0,0.0,0.0,0.00015214,8.198e-05,0.0015824,0.00014114,6.566e-05,7.39e-06,9.41e-06,4.47e-06,5.72e-06,9.153e-05,3.521e-05,6.404e-05
461,0.0,0.0,0.969344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,0.0,0.0,0.901278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,0.0,0.0,0.845132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,0.0,0.0,0.837311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,0.0,0.0,0.843284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,0.0,0.0,0.846415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,0.0,0.0,0.860784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,0.0,0.0,0.884946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,0.0,0.0,0.911153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,2.79e-05,4.449e-05,0.92919,0.00196864,0.0,0.0,0.0,0.00024127,2.878e-05,0.00290369,0.00020336,0.00021447,8.93e-06,5.35e-06,3.72e-06,7.89e-06,3.687e-05,3.318e-05,6.335e-05
471,0.0,0.0,0.917578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,0.0,0.0,0.870342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,0.0,0.0,0.787985,0.0,0.0,0.0,0.0,0.0,0.0,0.0021421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,0.0,0.0,0.665293,0.0,0.0,0.0,0.0,0.0,0.0,0.00237502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,0.0,0.0,0.502695,0.0,0.0,0.0,0.0,0.0,0.0,0.00285216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,0.0,0.0,0.321345,0.0,0.0,0.0,0.0,0.0,0.0,0.00410756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,0.0,0.0,0.171332,0.0,0.0,0.0,0.0,0.0,0.0,0.00885956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,0.0,0.0,0.0784788,0.0,0.0,0.0,0.0,0.0,0.0,0.0271083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,0.0,0.0,0.0331535,0.0,0.0,0.0,0.0,0.0,0.0,0.0791932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,2.875e-05,4.768e-05,0.0144349,0.00123476,0.0,0.0,0.0,0.00044755,5.945e-05,0.183004,0.00036482,0.00016534,5.01e-06,2.89e-06,2.65e-06,3.3e-06,4.437e-05,3.438e-05,4.254e-05
481,0.0,0.0,0.00670438,0.0,0.0,0.0,0.0,0.0,0.0,0.356889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,0.0,0.0,0.0034712,0.0,0.0,0.0,0.0,0.0,0.0,0.596681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,0.0,0.0,0.00188232,0.0,0.0,0.0,0.0,0.0,0.0,0.806388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,0.0,0.0,0.00116973,0.0,0.0,0.0,0.0,0.0,0.0,0.911347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,0.0,0.0,0.0006853,0.0,0.0,0.0,0.0,0.0,0.0,0.950045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,0.0,0.0,0.00034579,0.0,0.0,0.0,0.0,0.0,0.0,0.974604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,0.0,0.0,0.00022893,0.0,0.0,0.0,0.0,0.0,0.0,0.990802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,0.0,0.0,0.00017735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
