nm,Band_1p,Band_1,Band_2,Band_3,Band_4,Band_4p,Band_5p,Band_5,Band_7,Pan
514,0.0,0.38372,0.00299,0.0,0.0,0.0,0.0,0.0,0.0,0.57019
515,0.0,0.26095,0.00379,0.0,0.0,0.0,0.0,0.0,0.0,0.58164
516,0.0,0.17493,0.00493,0.0,0.0,0.0,0.0,0.0,0.0,0.58556
517,0.0,0.12051,0.00676,0.0,0.0,0.0,0.0,0.0,0.0,0.58682
518,0.0,0.08465,0.00963,0.0,0.0,0.0,0.0,0.0,0.0,0.59395
519,0.0,0.06078,0.01413,0.0,0.0,0.0,0.0,0.0,0.0,0.59668
520,0.0,0.04416,0.02166,0.0,0.0,0.0,0.0,0.0,0.0,0.59176
521,0.0,0.03304,0.03329,0.0,0.0,0.0,0.0,0.0,0.0,0.58076
522,0.0,0.02508,0.0527,0.0,0.0,0.0,0.0,0.0,0.0,0.56983
523,0.0,0.01909,0.08222,0.0,0.0,0.0,0.0,0.0,0.0,0.56235
524,0.0,0.01471,0.12653,0.0,0.0,0.0,0.0,0.0,0.0,0.56869
525,0.0,0.01128,0.18246,0.0,0.0,0.0,0.0,0.0,0.0,0.58637
526,0.0,0.00873,0.25315,0.0,0.0,0.0,0.0,0.0,0.0,0.60697
527,0.0,0.00668,0.33383,0.0,0.0,0.0,0.0,0.0,0.0,0.6297
528,0.0,0.00502,0.42369,0.0,0.0,0.0,0.0,0.0,0.0,0.64545
529,0.0,0.00383,0.51961,0.0,0.0,0.0,0.0,0.0,0.0,0.6543
530,0.0,0.00288,0.61307,0.0,0.0,0.0,0.0,0.0,0.0,0.65559
531,0.0,0.00216,0.69206,0.0,0.0,0.0,0.0,0.0,0.0,0.65142
532,0.0,0.00162,0.74734,0.0,0.0,0.0,0.0,0.0,0.0,0.65008
533,0.0,0.00125,0.78427,0.0,0.0,0.0,0.0,0.0,0.0,0.64711
534,0.0,0.00099,0.80615,0.0,0.0,0.0,0.0,0.0,0.0,0.64155
535,0.0,0.00078,0.81964,0.0,0.0,0.0,0.0,0.0,0.0,0.64099
536,0.0,0.00059,0.83077,0.0,0.0,0.0,0.0,0.0,0.0,0.64155
537,0.0,0.00046,0.83893,0.0,0.0,0.0,0.0,0.0,0.0,0.64596
538,0.0,0.00035,0.84611,0.0,0.0,0.0,0.0,0.0,0.0,0.65644
539,0.0,0.0003,0.85127,0.0,0.0,0.0,0.0,0.0,0.0,0.67206
540,0.0,0.00023,0.8554,0.0,0.0,0.0,0.0,0.0,0.0,0.68972
541,0.0,0.00021,0.85825,0.0,0.0,0.0,0.0,0.0,0.0,0.70046
542,0.0,0.00014,0.85711,0.0,0.0,0.0,0.0,0.0,0.0,0.70618
543,0.0,0.00012,0.85607,0.0,0.0,0.0,0.0,0.0,0.0,0.69963
544,0.0,0.00011,0.85258,0.0,0.0,0.0,0.0,0.0,0.0,0.6859
545,0.0,0.0001,0.85019,0.0,0.0,0.0,0.0,0.0,0.0,0.66664
546,0.0,9e-05,0.84993,0.0,0.0,0.0,0.0,0.0,0.0,0.64612
547,0.0,8e-05,0.84812,0.0,0.0,0.0,0.0,0.0,0.0,0.62803
548,0.0,5e-05,0.85074,0.0,0.0,0.0,0.0,0.0,0.0,0.6172
549,0.0,5e-05,0.85392,0.0,0.0,0.0,0.0,0.0,0.0,0.61517
550,0.0,5e-05,0.8573,0.0,0.0,0.0,0.0,0.0,0.0,0.61946
551,0.0,2e-05,0.86113,0.0,0.0,0.0,0.0,0.0,0.0,0.62609
552,0.0,4e-05,0.86887,0.0,0.0,0.0,0.0,0.0,0.0,0.63774
553,0.0,4e-05,0.87774,0.0,0.0,0.0,0.0,0.0,0.0,0.65222
554,0.0,5e-05,0.88815,0.0,0.0,0.0,0.0,0.0,0.0,0.66604
555,0.0,2e-05,0.8969,0.0,0.0,0.0,0.0,0.0,0.0,0.67844
556,0.0,3e-05,0.90286,0.0,0.0,0.0,0.0,0.0,0.0,0.68779
557,0.0,2e-05,0.90407,0.0,0.0,0.0,0.0,0.0,0.0,0.69094
558,0.0,1e-05,0.90407,0.0,0.0,0.0,0.0,0.0,0.0,0.68812
559,0.0,2e-05,0.90389,0.0,0.0,0.0,0.0,0.0,0.0,0.67763
560,0.0,0.0,0.90618,0.0,0.0,0.0,0.0,0.0,0.0,0.66608
561,0.0,0.0,0.90787,0.0,0.0,0.0,0.0,0.0,0.0,0.65347
562,0.0,0.0,0.90849,0.0,0.0,0.0,0.0,0.0,0.0,0.64449
563,0.0,0.0,0.90949,0.0,0.0,0.0,0.0,0.0,0.0,0.64176
564,0.0,0.0,0.91082,0.0,0.0,0.0,0.0,0.0,0.0,0.64284
565,0.0,0.0,0.91263,0.0,0.0,0.0,0.0,0.0,0.0,0.64675
566,0.0,0.0,0.91389,0.0,0.0,0.0,0.0,0.0,0.0,0.65268
567,0.0,0.0,0.91521,0.0,0.0,0.0,0.0,0.0,0.0,0.65729
568,0.0,0.0,0.91836,0.0,0.0,0.0,0.0,0.0,0.0,0.66144
569,0.0,0.0,0.91772,0.0,0.0,0.0,0.0,0.0,0.0,0.66508
570,0.0,0.0,0.91696,0.0,0.0,0.0,0.0,0.0,0.0,0.67184
571,0.0,0.0,0.91492,0.0,0.0,0.0,0.0,0.0,0.0,0.67914
572,0.0,0.0,0.91721,0.0,0.0,0.0,0.0,0.0,0.0,0.68976
573,0.0,0.0,0.92045,0.0,0.0,0.0,0.0,0.0,0.0,0.7026
574,0.0,0.0,0.92582,0.0,0.0,0.0,0.0,0.0,0.0,0.71348
575,0.0,0.0,0.9329,0.0,0.0,0.0,0.0,0.0,0.0,0.72163
576,0.0,0.0,0.94443,0.0,0.0,0.0,0.0,0.0,0.0,0.72921
577,0.0,0.0,0.95132,1e-05,0.0,0.0,0.0,0.0,0.0,0.73354
578,0.0,0.0,0.95154,3e-05,0.0,0.0,0.0,0.0,0.0,0.74037
579,0.0,0.0,0.95563,4e-05,0.0,0.0,0.0,0.0,0.0,0.74644
580,0.0,0.0,0.95369,4e-05,0.0,0.0,0.0,0.0,0.0,0.75287
581,0.0,0.0,0.95866,3e-05,0.0,0.0,0.0,0.0,0.0,0.76139
582,0.0,0.0,0.9639,4e-05,0.0,0.0,0.0,0.0,0.0,0.76641
583,0.0,0.0,0.96879,4e-05,0.0,0.0,0.0,0.0,0.0,0.7709
584,0.0,0.0,0.97226,3e-05,0.0,0.0,0.0,0.0,0.0,0.7736
585,0.0,0.0,0.97166,3e-05,0.0,0.0,0.0,0.0,0.0,0.77717
586,0.0,0.0,0.96948,3e-05,0.0,0.0,0.0,0.0,0.0,0.7825
587,0.0,0.0,0.96714,4e-05,0.0,0.0,0.0,0.0,0.0,0.78864
588,0.0,0.0,0.96326,4e-05,0.0,0.0,0.0,0.0,0.0,0.79972
589,0.0,0.0,0.96344,4e-05,0.0,0.0,0.0,0.0,0.0,0.80318
590,0.0,0.0,0.96763,4e-05,0.0,0.0,0.0,0.0,0.0,0.80863
591,0.0,0.0,0.97323,5e-05,0.0,0.0,0.0,0.0,0.0,0.80607
592,0.0,0.0,0.98217,7e-05,0.0,0.0,0.0,0.0,0.0,0.80246
593,0.0,0.0,0.99015,9e-05,0.0,0.0,0.0,0.0,0.0,0.79902
594,0.0,0.0,0.9947,0.00011,0.0,0.0,0.0,0.0,0.0,0.79771
595,0.0,0.0,0.99949,0.00014,0.0,0.0,0.0,0.0,0.0,0.80144
596,0.0,0.0,1.00009,0.00019,0.0,0.0,0.0,0.0,0.0,0.80957
597,0.0,0.0,0.99433,0.00023,0.0,0.0,0.0,0.0,0.0,0.8243
598,0.0,0.0,0.97685,0.00031,0.0,0.0,0.0,0.0,0.0,0.83593
599,0.0,0.0,0.93763,0.00043,0.0,0.0,0.0,0.0,0.0,0.84763
600,0.0,0.0,0.86768,0.00054,0.0,0.0,0.0,0.0,0.0,0.85393
601,0.0,0.0,0.76963,0.00072,0.0,0.0,0.0,0.0,0.0,0.85837
602,0.0,0.0,0.64506,0.00087,0.0,0.0,0.0,0.0,0.0,0.85788
603,0.0,0.0,0.52314,0.001,0.0,0.0,0.0,0.0,0.0,0.85911
604,0.0,0.0,0.4083,0.0011,0.0,0.0,0.0,0.0,0.0,0.86135
605,0.0,0.0,0.31429,0.0012,0.0,0.0,0.0,0.0,0.0,0.8665
606,0.0,0.0,0.23953,0.00131,0.0,0.0,0.0,0.0,0.0,0.87082
607,0.0,0.0,0.18306,0.00143,0.0,0.0,0.0,0.0,0.0,0.86974
608,0.0,0.0,0.14002,0.00158,0.0,0.0,0.0,0.0,0.0,0.86664
609,0.0,0.0,0.10708,0.00183,0.0,0.0,0.0,0.0,0.0,0.85922
610,0.0,0.0,0.08244,0.00221,0.0,0.0,0.0,0.0,0.0,0.85146
611,0.0,0.0,0.06265,0.00261,0.0,0.0,0.0,0.0,0.0,0.84347
612,0.0,0.0,0.04782,0.00323,0.0,0.0,0.0,0.0,0.0,0.84138
613,0.0,0.0,0.0353,0.00406,0.0,0.0,0.0,0.0,0.0,0.84883
614,0.0,0.0,0.02565,0.00524,0.0,0.0,0.0,0.0,0.0,0.85749
615,0.0,0.0,0.0182,0.00696,0.0,0.0,0.0,0.0,0.0,0.87106
616,0.0,0.0,0.01282,0.00941,0.0,0.0,0.0,0.0,0.0,0.88417
617,0.0,0.0,0.00901,0.01278,0.0,0.0,0.0,0.0,0.0,0.89491
618,0.0,0.0,0.00626,0.01759,0.0,0.0,0.0,0.0,0.0,0.90017
619,0.0,0.0,0.00432,0.02448,0.0,0.0,0.0,0.0,0.0,0.90109
620,0.0,0.0,0.00292,0.03337,0.0,0.0,0.0,0.0,0.0,0.90273
621,0.0,0.0,0.00207,0.0455,0.0,0.0,0.0,0.0,0.0,0.90351
622,0.0,0.0,0.00147,0.06016,0.0,0.0,0.0,0.0,0.0,0.9072
623,0.0,0.0,0.00102,0.0793,0.0,0.0,0.0,0.0,0.0,0.91298
624,0.0,0.0,0.00075,0.10217,0.0,0.0,0.0,0.0,0.0,0.91871
625,0.0,0.0,0.00059,0.13175,0.0,0.0,0.0,0.0,0.0,0.92525
626,0.0,0.0,0.00044,0.16791,0.0,0.0,0.0,0.0,0.0,0.9266
627,0.0,0.0,0.00034,0.21572,0.0,0.0,0.0,0.0,0.0,0.92259
