nm,Green,Red,NIR1,NIR2
447,0.0,0.0,0.0,0.0
448,0.0,0.0,0.0,0.0
449,0.0091001,0.0,0.0,0.0
450,0.00455005,0.0,0.0,0.0
451,0.00455005,0.0,0.0,0.0
452,0.00505561,0.0,0.0,0.0
453,0.00556117,0.0,0.0,0.0
454,0.00556117,0.0,0.0,0.0
455,0.00556117,0.0,0.0,0.0
456,0.00556117,0.0,0.0,0.0
457,0.00370745,0.0,0.0,0.0
458,0.00370745,0.0,0.0,0.0
459,0.00370745,0.0,0.0,0.0
460,0.00370745,0.0,0.0,0.0
461,0.00353893,0.0,0.0,0.0
462,0.00631951,0.0,0.0,0.0
463,0.00733064,0.0,0.0,0.0
464,0.00808898,0.0,0.0,0.0
465,0.01011122,0.0,0.0,0.0
466,0.00849343,0.0,0.0,0.0
467,0.00792046,0.0,0.0,0.0
468,0.01044826,0.0,0.0,0.0
469,0.01230199,0.0,0.0,0.0
470,0.01381867,0.0,0.0,0.0
471,0.01634648,0.0,0.0,0.0
472,0.01887428,0.0,0.0,0.0
473,0.02072801,0.0,0.0,0.0
474,0.02275025,0.0,0.0,0.0
475,0.02578362,0.0,0.0,0.0
476,0.02847995,0.0,0.0,0.0
477,0.03319852,0.0,0.0,0.0
478,0.03842265,0.0,0.0,0.0
479,0.04516346,0.0,0.0,0.0
480,0.05392653,0.0,0.0,0.0
481,0.06403775,0.0,0.0,0.0
482,0.08088979,0.0,0.0,0.0
483,0.10128075,0.0,0.0,0.0
484,0.12706437,0.0,0.0,0.0
485,0.16750927,0.0,0.0,0.0
486,0.20239299,0.0,0.0,0.0
487,0.2521065,0.0,0.0,0.0
488,0.29491068,0.0,0.0,0.0
489,0.31664981,0.0,0.0,0.0
490,0.36147624,0.0,0.0,0.0
491,0.38658578,0.0,0.0,0.0
492,0.41877317,0.0,0.0,0.0
493,0.44657904,0.0,0.0,0.0
494,0.47034041,0.0,0.0,0.0
495,0.49848332,0.0,0.0,0.0
496,0.51971689,0.0,0.0,0.0
497,0.54229862,0.0,0.0,0.0
498,0.56959892,0.0,0.0,0.0
499,0.59453994,0.0,0.0,0.0
500,0.62672733,0.0,0.0,0.0
501,0.64694978,0.0,0.0,0.0
502,0.67408156,0.0,0.0,0.0
503,0.69514661,0.0,0.0,0.0
504,0.71250421,0.0,0.0,0.0
505,0.72952477,0.0,0.0,0.0
506,0.74721941,0.0,0.0,0.0
507,0.76558814,0.0,0.0,0.0
508,0.78294574,0.0,0.0,0.0
509,0.8016515,0.0,0.0,0.0
510,0.81833502,0.0,0.0,0.0
511,0.82996293,0.0,0.0,0.0
512,0.842939,0.0,0.0,0.0
513,0.8554095,0.0,0.0,0.0
514,0.86636333,0.0,0.0,0.0
515,0.87327267,0.0,0.0,0.0
516,0.88237277,0.0,0.0,0.0
517,0.89046175,0.0,0.0,0.0
518,0.89888777,0.0,0.0,0.0
519,0.90697674,0.0,0.0,0.0
520,0.91388608,0.0,0.0,0.0
521,0.92113246,0.0,0.0,0.0
522,0.92618807,0.0,0.0,0.0
523,0.93394001,0.0,0.0,0.0
524,0.93781598,0.0,0.0,0.0
525,0.94337715,0.0,0.0,0.0
526,0.94860128,0.0,0.0,0.0
527,0.95298281,0.0,0.0,0.0
528,0.95551062,0.0,0.0,0.0
529,0.95736434,0.0,0.0,0.0
530,0.95989215,0.0,0.0,0.0
531,0.96056623,0.0,0.0,0.0
532,0.96191439,0.0,0.0,0.0
533,0.96174587,0.0,0.0,0.0
534,0.96157735,0.0,0.0,0.0
535,0.96107179,0.0,0.0,0.0
536,0.96124031,0.0,0.0,0.0
537,0.96107179,0.0,0.0,0.0
538,0.96090327,0.0,0.0,0.0
539,0.96124031,0.0,0.0,0.0
540,0.9644422,0.0,0.0,0.0
541,0.96646444,0.0,0.0,0.0
542,0.97034041,0.0,0.0,0.0
543,0.9743849,0.0,0.0,0.0
544,0.97826087,0.0,0.0,0.0
545,0.98399056,0.0,0.0,0.0
546,0.98972026,0.0,0.0,0.0
547,0.99359623,0.0,0.0,0.0
548,0.99629255,0.0,0.0,0.0
549,0.99865184,0.0,0.0,0.0
550,0.99966296,0.0,0.0,0.0
551,1.0,0.0,0.0,0.0
552,0.99983148,0.0002558,0.0,0.0
553,0.99983148,0.0002558,0.0,0.0
554,0.99882036,0.0005116,0.0,0.0
555,0.99814628,0.00153479,0.0,0.0
556,0.99646107,0.00230218,0.0,0.0
557,0.99376475,0.00383697,0.0,0.0
558,0.99191102,0.00486016,0.0,0.0
559,0.98921469,0.00537176,0.0,0.0
560,0.98736097,0.00588336,0.0,0.0
561,0.98668689,0.00588336,0.0,0.0
562,0.98601281,0.00588336,0.0,0.0
563,0.98685541,0.00588336,0.0,0.0
564,0.98904617,0.00613915,0.0,0.0
565,0.99140546,0.00665075,0.0,0.0
566,0.99325918,0.00588336,0.0,0.0
567,0.99359623,0.00639495,0.0,0.0
568,0.99511291,0.00690655,0.0,0.0
569,0.99544995,0.00552524,0.0,0.0
570,0.99494439,0.00552524,0.0,0.0
571,0.99427031,0.00552524,0.0,0.0
572,0.99376475,0.00572988,0.0,0.0
573,0.99325918,0.00613915,0.0,0.0
574,0.99073138,0.00654843,0.0,0.0
575,0.98517021,0.00675307,0.0,0.0
576,0.97708123,0.00716235,0.0,0.0
577,0.96916077,0.00716235,0.0,0.0
578,0.95854398,0.00736698,0.0,0.0
579,0.94287159,0.00757162,0.0,0.0
580,0.92753623,0.00879945,0.0,0.0
581,0.90883047,0.00920873,0.0,0.0
582,0.87917088,0.00886767,0.0,0.0
583,0.84951129,0.01006139,0.0,0.0
584,0.82457027,0.01057299,0.0,0.0
585,0.79036063,0.01142565,0.0,0.0
586,0.76019548,0.01347203,0.0,0.0
587,0.72581732,0.01585948,0.0,0.0
588,0.68688911,0.0180764,0.0,0.0
589,0.65234243,0.02080491,0.0,0.0
590,0.6107179,0.02438608,0.0,0.0
591,0.57178969,0.02813779,0.0,0.0
592,0.52527806,0.0356412,0.0,0.0
593,0.48297944,0.04502046,0.0,0.0
594,0.44506235,0.05729877,0.0,0.0
595,0.3958544,0.06855389,0.0,0.0
596,0.35069093,0.0850955,0.0,0.0
597,0.30653859,0.15893588,0.0,0.0
598,0.27081227,0.18400409,0.0,0.0
599,0.22834513,0.28444748,0.0,0.0
600,0.20070779,0.38011596,0.0,0.0
601,0.15655544,0.42598909,0.0,0.0
602,0.13700708,0.47697817,0.0,0.0
603,0.12403101,0.52131651,0.0,0.0
604,0.11223458,0.5441678,0.0,0.0
605,0.09959555,0.58373124,0.0,0.0
606,0.09218065,0.62158936,0.0,0.0
607,0.0842602,0.64171214,0.0,0.0
608,0.07920458,0.67428377,0.0,0.0
609,0.07094708,0.69440655,0.0,0.0
610,0.06656555,0.71401774,0.0,0.0
611,0.05982474,0.73857435,0.0,0.0
612,0.05645433,0.75358117,0.0,0.0
613,0.05426357,0.77438608,0.0,0.0
614,0.0520728,0.79860164,0.0,0.0
615,0.04785979,0.81787176,0.0,0.0
616,0.04499494,0.83219645,0.0,0.0
617,0.04246714,0.848397,0.0,0.0
618,0.04044489,0.86783765,0.0,0.0
619,0.03825413,0.87960437,0.0,0.0
620,0.03673745,0.88847203,0.0,0.0
621,0.03454668,0.90245566,0.0,0.0
622,0.03319852,0.91336971,0.0,0.0
623,0.03117627,0.92036153,0.0,0.0
624,0.02847995,0.92752387,0.0,0.0
625,0.02696326,0.9334925,0.0,0.0
626,0.02595214,0.93894952,0.0,0.0
627,0.02426694,0.94901091,0.0,0.0
628,0.02359285,0.95600273,0.0,0.0
629,0.02291877,0.96111869,0.0,0.0
630,0.02173913,0.96674625,0.0,0.0
631,0.02089653,0.97203274,0.0,0.0
