WL_nm,Blue,Green,Red,RedEdge,NIR
518,0.0002,0.1205,0.0000,0.0000,0.0004
519,0.0001,0.2718,0.0000,0.0000,0.0017
520,0.0001,0.5387,0.0000,0.0000,0.0113
521,0.0000,0.7835,0.0000,0.0000,0.0015
522,0.0000,0.8680,0.0000,0.0000,0.0004
523,0.0000,0.8700,0.0000,0.0000,0.0002
524,0.0000,0.8639,0.0000,0.0000,0.0001
525,0.0000,0.8676,0.0000,0.0000,0.0001
526,0.0000,0.8731,0.0000,0.0001,0.0001
527,0.0000,0.8768,0.0000,0.0005,0.0000
528,0.0000,0.8760,0.0000,0.0007,0.0000
529,0.0000,0.8735,0.0000,0.0002,0.0000
530,0.0000,0.8710,0.0000,0.0002,0.0000
531,0.0000,0.8715,0.0000,0.0002,0.0001
532,0.0000,0.8739,0.0000,0.0002,0.0001
533,0.0000,0.8772,0.0000,0.0007,0.0001
534,0.0000,0.8805,0.0000,0.0067,0.0002
535,0.0000,0.8820,0.0000,0.0007,0.0003
536,0.0000,0.8827,0.0000,0.0002,0.0005
537,0.0000,0.8824,0.0000,0.0001,0.0006
538,0.0000,0.8813,0.0000,0.0000,0.0006
539,0.0000,0.8803,0.0000,0.0000,0.0004
540,0.0000,0.8814,0.0000,0.0000,0.0003
541,0.0000,0.8828,0.0000,0.0001,0.0002
542,0.0000,0.8862,0.0000,0.0001,0.0002
543,0.0001,0.8907,0.0011,0.0003,0.0002
544,0.0007,0.8944,0.0000,0.0008,0.0003
545,0.0000,0.8971,0.0000,0.0004,0.0005
546,0.0000,0.8981,0.0000,0.0003,0.0016
547,0.0000,0.8990,0.0000,0.0003,0.0018
548,0.0000,0.8982,0.0000,0.0010,0.0003
549,0.0000,0.8985,0.0000,0.0004,0.0001
550,0.0000,0.9008,0.0000,0.0000,0.0001
551,0.0000,0.9046,0.0000,0.0000,0.0000
552,0.0000,0.9096,0.0000,0.0000,0.0000
553,0.0000,0.9147,0.0000,0.0000,0.0000
554,0.0000,0.9199,0.0000,0.0000,0.0000
555,0.0000,0.9242,0.0000,0.0000,0.0000
556,0.0000,0.9266,0.0000,0.0000,0.0000
557,0.0000,0.9281,0.0000,0.0000,0.0000
558,0.0000,0.9296,0.0000,0.0000,0.0000
559,0.0000,0.9330,0.0004,0.0000,0.0000
560,0.0000,0.9363,0.0000,0.0000,0.0000
561,0.0000,0.9416,0.0000,0.0000,0.0000
562,0.0000,0.9459,0.0000,0.0000,0.0000
563,0.0000,0.9493,0.0000,0.0000,0.0000
564,0.0000,0.9517,0.0000,0.0000,0.0000
565,0.0000,0.9531,0.0000,0.0000,0.0000
566,0.0000,0.9555,0.0000,0.0000,0.0000
567,0.0000,0.9598,0.0000,0.0000,0.0000
568,0.0000,0.9650,0.0000,0.0000,0.0000
569,0.0000,0.9702,0.0000,0.0000,0.0000
570,0.0000,0.9742,0.0000,0.0000,0.0000
571,0.0000,0.9768,0.0000,0.0000,0.0001
572,0.0000,0.9762,0.0000,0.0000,0.0001
573,0.0000,0.9745,0.0000,0.0000,0.0007
574,0.0000,0.9738,0.0000,0.0000,0.0008
575,0.0000,0.9760,0.0000,0.0000,0.0001
576,0.0000,0.9823,0.0000,0.0000,0.0001
577,0.0000,0.9885,0.0006,0.0000,0.0000
578,0.0000,0.9927,0.0002,0.0000,0.0000
579,0.0000,0.9928,0.0000,0.0000,0.0000
580,0.0000,0.9877,0.0000,0.0000,0.0000
581,0.0000,0.9823,0.0000,0.0000,0.0000
582,0.0000,0.9838,0.0000,0.0000,0.0000
583,0.0000,0.9924,0.0000,0.0000,0.0000
584,0.0000,1.0000,0.0000,0.0000,0.0000
585,0.0000,0.9943,0.0000,0.0000,0.0000
586,0.0000,0.9763,0.0000,0.0000,0.0000
587,0.0000,0.9705,0.0000,0.0000,0.0000
588,0.0000,0.9994,0.0001,0.0000,0.0000
589,0.0000,0.8898,0.0010,0.0000,0.0000
590,0.0000,0.4170,0.0017,0.0000,0.0000
591,0.0000,0.1264,0.0002,0.0000,0.0000
592,0.0000,0.0392,0.0001,0.0001,0.0000
593,0.0000,0.0139,0.0000,0.0000,0.0000
594,0.0000,0.0055,0.0000,0.0000,0.0000
595,0.0000,0.0024,0.0000,0.0000,0.0000
596,0.0000,0.0012,0.0000,0.0000,0.0000
597,0.0000,0.0006,0.0000,0.0000,0.0000
598,0.0000,0.0003,0.0000,0.0000,0.0000
599,0.0000,0.0002,0.0000,0.0000,0.0001
600,0.0000,0.0001,0.0000,0.0000,0.0001
601,0.0000,0.0001,0.0000,0.0000,0.0002
602,0.0000,0.0000,0.0000,0.0000,0.0004
603,0.0000,0.0000,0.0000,0.0000,0.0019
604,0.0000,0.0000,0.0000,0.0000,0.0039
605,0.0000,0.0000,0.0000,0.0000,0.0008
606,0.0000,0.0000,0.0000,0.0000,0.0003
607,0.0000,0.0000,0.0000,0.0000,0.0002
608,0.0000,0.0000,0.0000,0.0000,0.0001
609,0.0000,0.0000,0.0000,0.0000,0.0001
610,0.0000,0.0000,0.0000,0.0218,0.0001
611,0.0000,0.0000,0.0000,0.0000,0.0001
612,0.0000,0.0000,0.0000,0.0000,0.0001
613,0.0000,0.0000,0.0001,0.0000,0.0001
614,0.0001,0.0000,0.0001,0.0000,0.0001
615,0.0001,0.0000,0.0001,0.0000,0.0001
616,0.0001,0.0000,0.0001,0.0000,0.0001
617,0.0001,0.0000,0.0002,0.0000,0.0001
618,0.0001,0.0000,0.0003,0.0000,0.0001
619,0.0001,0.0000,0.0004,0.0000,0.0001
620,0.0001,0.0000,0.0006,0.0000,0.0002
621,0.0001,0.0000,0.0010,0.0000,0.0002
622,0.0001,0.0000,0.0016,0.0000,0.0004
623,0.0001,0.0000,0.0028,0.0000,0.0006
624,0.0001,0.0000,0.0049,0.0000,0.0012
625,0.0001,0.0000,0.0092,0.0000,0.0025
626,0.0001,0.0000,0.0182,0.0000,0.0029
627,0.0001,0.0000,0.0383,0.0000,0.0012
628,0.0001,0.0000,0.0860,0.0000,0.0005
629,0.0001,0.0000,0.2003,0.0000,0.0003
630,0.0001,0.0000,0.4367,0.0001,0.0002
631,0.0001,0.0000,0.7227,0.0009,0.0001
632,0.0001,0.0000,0.8561,0.0005,0.0001
633,0.0001,0.0000,0.8634,0.0001,0.0001
634,0.0001,0.0000,0.8520,0.0000,0.0001
635,0.0002,0.0000,0.8540,0.0000,0.0001
636,0.0002,0.0000,0.8648,0.0000,0.0001
637,0.0004,0.0003,0.8757,0.0000,0.0001
638,0.0004,0.0000,0.8814,0.0000,0.0002
639,0.0003,0.0000,0.8818,0.0000,0.0003
640,0.0003,0.0000,0.8806,0.0000,0.0004
641,0.0002,0.0000,0.8816,0.0000,0.0006
642,0.0002,0.0000,0.8846,0.0001,0.0009
643,0.0002,0.0000,0.8896,0.0004,0.0013
644,0.0001,0.0000,0.8956,0.0155,0.0017
645,0.0001,0.0000,0.9016,0.0010,0.0016
646,0.0001,0.0000,0.9067,0.0003,0.0009
647,0.0001,0.0000,0.9091,0.0001,0.0004
648,0.0002,0.0000,0.9115,0.0001,0.0002
649,0.0002,0.0000,0.9130,0.0001,0.0001
650,0.0002,0.0000,0.9147,0.0000,0.0001
651,0.0002,0.0000,0.9184,0.0000,0.0001
652,0.0001,0.0000,0.9231,0.0000,0.0000
653,0.0001,0.0000,0.9280,0.0000,0.0000
654,0.0001,0.0000,0.9338,0.0000,0.0000
655,0.0000,0.0000,0.9386,0.0000,0.0000
656,0.0000,0.0000,0.9435,0.0000,0.0000
657,0.0000,0.0000,0.9474,0.0000,0.0000
658,0.0000,0.0000,0.9513,0.0000,0.0000
659,0.0000,0.0000,0.9541,0.0000,0.0000
660,0.0000,0.0000,0.9577,0.0000,0.0000
661,0.0000,0.0000,0.9609,0.0000,0.0000
662,0.0000,0.0000,0.9629,0.0000,0.0000
663,0.0000,0.0000,0.9658,0.0000,0.0001
664,0.0000,0.0000,0.9676,0.0000,0.0001
665,0.0000,0.0000,0.9704,0.0000,0.0001
666,0.0000,0.0000,0.9732,0.0000,0.0001
667,0.0000,0.0001,0.9760,0.0000,0.0001
668,0.0000,0.0000,0.9807,0.0000,0.0001
669,0.0000,0.0000,0.9854,0.0001,0.0001
670,0.0000,0.0000,0.9888,0.0001,0.0002
671,0.0000,0.0000,0.9909,0.0001,0.0003
672,0.0000,0.0000,0.9908,0.0001,0.0006
673,0.0001,0.0000,0.9886,0.0002,0.0023
674,0.0008,0.0000,0.9853,0.0002,0.0219
675,0.0003,0.0000,0.9850,0.0003,0.0027
676,0.0001,0.0000,0.9887,0.0004,0.0008
677,0.0000,0.0000,0.9944,0.0006,0.0004
678,0.0000,0.0000,1.0000,0.0008,0.0002
679,0.0000,0.0000,0.9983,0.0012,0.0001
680,0.0000,0.0000,0.9890,0.0018,0.0001
681,0.0000,0.0000,0.9809,0.0028,0.0001
682,0.0000,0.0000,0.9887,0.0044,0.0000
683,0.0000,0.0000,0.9994,0.0072,0.0000
684,0.0000,0.0000,0.8584,0.0123,0.0000
685,0.0000,0.0000,0.4634,0.0215,0.0000
686,0.0000,0.0000,0.1737,0.0391,0.0000
687,0.0000,0.0000,0.0623,0.0739,0.0000
688,0.0000,0.0000,0.0240,0.1428,0.0000
689,0.0000,0.0000,0.0101,0.2752,0.0000
690,0.0000,0.0000,0.0046,0.4910,0.0000
691,0.0000,0.0000,0.0022,0.7400,0.0000
692,0.0000,0.0000,0.0011,0.9144,0.0000
693,0.0000,0.0000,0.0006,0.9840,0.0000
694,0.0000,0.0000,0.0003,0.9985,0.0000
695,0.0000,0.0000,0.0002,0.9979,0.0000
696,0.0000,0.0000,0.0001,0.9972,0.0000
697,0.0000,0.0000,0.0001,0.9985,0.0000
698,0.0000,0.0000,0.0000,0.9998,0.0000
699,0.0000,0.0000,0.0000,1.0000,0.0000
700,0.0000,0.0000,0.0000,0.9979,0.0000
701,0.0000,0.0000,0.0000,0.9954,0.0000
702,0.0000,0.0000,0.0000,0.9928,0.0000
703,0.0000,0.0000,0.0000,0.9900,0.0000
704,0.0000,0.0000,0.0000,0.9883,0.0000
705,0.0000,0.0000,0.0000,0.9875,0.0000
706,0.0000,0.0000,0.0000,0.9866,0.0000
707,0.0000,0.0001,0.0000,0.9858,0.0000
708,0.0000,0.0001,0.0000,0.9850,0.0000
709,0.0000,0.0001,0.0000,0.9841,0.0000
710,0.0000,0.0001,0.0000,0.9822,0.0000
711,0.0000,0.0002,0.0000,0.9792,0.0000
712,0.0000,0.0002,0.0000,0.9761,0.0000
713,0.0000,0.0002,0.0000,0.9721,0.0000
714,0.0000,0.0002,0.0000,0.9690,0.0000
715,0.0000,0.0001,0.0000,0.9659,0.0000
716,0.0000,0.0001,0.0000,0.9648,0.0000
717,0.0000,0.0000,0.0000,0.9637,0.0000
718,0.0000,0.0000,0.0000,0.9636,0.0000
719,0.0000,0.0000,0.0000,0.9634,0.0000
720,0.0000,0.0000,0.0000,0.9612,0.0000
721,0.0000,0.0000,0.0000,0.9561,0.0000
722,0.0000,0.0000,0.0000,0.9490,0.0000
723,0.0000,0.0000,0.0000,0.9419,0.0000
724,0.0000,0.0000,0.0000,0.9377,0.0000
725,0.0000,0.0000,0.0000,0.9393,0.0000
726,0.0000,0.0000,0.0000,0.9457,0.0000
727,0.0000,0.0000,0.0000,0.9358,0.0000
728,0.0000,0.0000,0.0000,0.8601,0.0000
729,0.0000,0.0000,0.0000,0.6707,0.0001
730,0.0000,0.0001,0.0000,0.4253,0.0001
731,0.0000,0.0001,0.0000,0.2340,0.0001
732,0.0000,0.0001,0.0000,0.1229,0.0001
733,0.0000,0.0000,0.0000,0.0646,0.0002
734,0.0000,0.0000,0.0000,0.0352,0.0002
735,0.0000,0.0000,0.0000,0.0198,0.0003
736,0.0001,0.0000,0.0000,0.0116,0.0003
737,0.0004,0.0000,0.0000,0.0070,0.0004
738,0.0010,0.0000,0.0000,0.0044,0.0005
739,0.0006,0.0000,0.0000,0.0028,0.0007
740,0.0001,0.0000,0.0000,0.0018,0.0008
741,0.0000,0.0000,0.0000,0.0012,0.0011
742,0.0000,0.0000,0.0000,0.0008,0.0013
743,0.0000,0.0000,0.0000,0.0006,0.0017
744,0.0000,0.0001,0.0000,0.0004,0.0022
745,0.0000,0.0001,0.0000,0.0003,0.0028
746,0.0000,0.0001,0.0000,0.0002,0.0036
747,0.0000,0.0001,0.0000,0.0001,0.0047
748,0.0000,0.0001,0.0000,0.0001,0.0063
749,0.0000,0.0001,0.0000,0.0001,0.0085
750,0.0000,0.0002,0.0000,0.0001,0.0117
751,0.0000,0.0002,0.0000,0.0000,0.0161
752,0.0000,0.0002,0.0000,0.0000,0.0226
753,0.0000,0.0002,0.0000,0.0000,0.0320
754,0.0000,0.0002,0.0000,0.0000,0.0464
755,0.0000,0.0002,0.0000,0.0000,0.0682
756,0.0000,0.0002,0.0000,0.0000,0.1016
757,0.0000,0.0002,0.0000,0.0000,0.1526
758,0.0000,0.0002,0.0000,0.0000,0.2310
759,0.0000,0.0003,0.0000,0.0000,0.3448
760,0.0000,0.0003,0.0000,0.0000,0.4969
761,0.0000,0.0003,0.0000,0.0000,0.6699
762,0.0000,0.0004,0.0000,0.0000,0.8283
763,0.0000,0.0005,0.0000,0.0000,0.9367
764,0.0000,0.0006,0.0000,0.0000,0.9881
765,0.0000,0.0007,0.0000,0.0000,1.0000
766,0.0000,0.0008,0.0000,0.0000,0.9937
