WL_nm,CoastalBlue,Blue,Green_i,Green_ii,Yellow,Red,RedEdge,NIR
465,0.0000,0.7683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
466,0.0000,0.9526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
467,0.0000,0.9574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
468,0.0000,0.9563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
469,0.0000,0.9526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
470,0.0000,0.9526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
471,0.0000,0.9613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
472,0.0000,0.9626,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
473,0.0000,0.9590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
474,0.0000,0.9590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
475,0.0000,0.9635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
476,0.0000,0.9649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
477,0.0000,0.9665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
478,0.0000,0.9654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
479,0.0000,0.9667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
480,0.0000,0.9690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
481,0.0000,0.9740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
482,0.0000,0.9729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
483,0.0000,0.9738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
484,0.0000,0.9729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
485,0.0000,0.9756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
486,0.0000,0.9722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
487,0.0000,0.9681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
488,0.0000,0.9745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
489,0.0000,0.9772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
490,0.0000,0.9831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
491,0.0000,0.9815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
492,0.0000,0.9829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
493,0.0000,0.9863,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
494,0.0000,0.9895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
495,0.0000,0.9904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
496,0.0000,0.9850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
497,0.0000,0.9861,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
